t_s,Power_W,T_local_C,T_remote_C
0,0,25,25
1,0,25,25
2,0,25,25
3,0,25,25
4,0,25,25
5,0,25,25
6,0,25,25
7,0,25,25
8,0,25,25
9,0,25,25
10,1,25,25
11,1,25.0346949547592,25.0002852959543
12,1,25.0693356157735,25.0011317848397
13,1,25.1039223392749,25.002525617134
14,1,25.1384554742473,25.0044532690054
15,1,25.1729353625955,25.0069015346727
16,1,25.2073623393091,25.0098575189433
17,1,25.2417367326243,25.013308629927
18,1,25.2760588641802,25.0172425719207
19,1,25.3103290491727,25.0216473384598
20,1,25.3445475965041,25.0265112055326
21,1,25.3787148089296,25.0318227249539
22,1,25.4128309831997,25.0375707178945
23,1,25.4468964102004,25.0437442685611
24,1,25.4809113750887,25.0503327180265
25,1,25.5148761574265,25.0573256582025
26,1,25.5487910313095,25.0647129259556
27,1,25.5826562654952,25.0724845973603
28,1,25.6164721235258,25.0806309820864
29,1,25.65023886385,25.0891426179196
30,1,25.6839567399406,25.098010265409
31,1,25.7176260004104,25.1072249026413
32,1,25.7512468891243,25.1167777201368
33,1,25.78481964531,25.1266601158657
34,1,25.8183445036649,25.1368636903807
35,1,25.8518216944616,25.1473802420648
36,1,25.8852514436497,25.1582017624892
37,1,25.9186339729567,25.1693204318811
38,1,25.9519694999852,25.1807286146976
39,1,25.9852582383083,25.192418855303
40,1,26.0185003975632,25.2043838737483
41,1,26.051696183542,25.2166165616487
42,1,26.0848457982807,25.2291099781588
43,1,26.1179494401458,25.2418573460413
44,1,26.1510073039194,25.2548520478286
45,1,26.1840195808816,25.2680876220742
46,1,26.2169864588918,25.281557759692
47,1,26.2499081224672,25.2952563003812
48,1,26.2827847528603,25.3091772291359
49,1,26.315616528134,25.3233146728353
50,1,26.3484036232352,25.3376628969154
51,1,26.3811462100663,25.3522163021174
52,1,26.4138444575559,25.3669694213129
53,1,26.446498531727,25.3819169164043
54,1,26.4791085957637,25.3970535752963
55,1,26.5116748100766,25.4123743089401
56,1,26.544197332367,25.4278741484459
57,1,26.5766763176885,25.4435482422633
58,1,26.6091119185083,25.4593918534282
59,1,26.6415042847666,25.4754003568741
60,1,26.6738535639343,25.491569236806
61,1,26.7061599010699,25.507894084137
62,1,26.7384234388747,25.5243705939835
63,1,26.7706443177471,25.5409945632208
64,1,26.8028226758349,25.5577618880947
65,1,26.8349586490873,25.5746685618899
66,1,26.8670523713047,25.591710672653
67,1,26.8991039741885,25.6088844009683
68,1,26.9311135873885,25.6261860177868
69,1,26.9630813385499,25.643611882305
70,1,26.9950073533594,25.6611584398947
71,1,27.0268917555895,25.67882222008
72,1,27.0587346671423,25.696599834563
73,1,27.0905362080923,25.7144879752948
74,1,27.1222964967276,25.7324834125925
75,1,27.1540156495909,25.7505829933001
76,1,27.1856937815192,25.7687836389921
77,1,27.2173310056823,25.7870823442203
78,1,27.2489274336211,25.8054761748005
79,1,27.280483175284,25.8239622661402
80,1,27.3119983390635,25.8425378216053
81,1,27.3434730318313,25.8612001109251
82,1,27.3749073589727,25.8799464686347
83,1,27.4063014244203,25.8987742925539
84,1,27.4376553306867,25.917681042302
85,1,27.4689691788968,25.9366642378471
86,1,27.5002430688189,25.9557214580896
87,1,27.5314770988955,25.9748503394791
88,1,27.562671366273,25.9940485746635
89,1,27.593825966831,26.0133139111698
90,1,27.6249409952108,26.0326441501159
91,1,27.6560165448431,26.0520371449528
92,1,27.6870527079751,26.071490800236
93,1,27.7180495756976,26.0910030704259
94,1,27.74900723797,26.110571958716
95,1,27.7799257836466,26.1301955158896
96,1,27.8108053005006,26.1498718392017
97,1,27.8416458752483,26.1695990712888
98,1,27.8724475935733,26.1893753991029
99,1,27.9032105401487,26.2091990528717
100,1,27.9339347986601,26.2290683050819
101,1,27.9646204518276,26.2489814694877
102,1,27.9952675814268,26.2689369001416
103,1,28.0258762683101,26.288932990448
104,1,28.0564465924272,26.3089681722399
105,1,28.0869786328449,26.3290409148759
106,1,28.1174724677666,26.3491497243596
107,1,28.1479281745515,26.3692931424787
